Brain pair: 0917.npy
****************************************
Before Registration	After Registration
0.804717	0.794384
0.791024	0.763665
0.725896	0.739744
0.721447	0.711480
0.581972	0.546058
0.619553	0.652823
0.639458	0.667947
0.643112	0.636364
0.638954	0.378079
0.758354	0.551768
0.392857	0.135550
0.489621	0.422695
0.710306	0.158333
0.598155	0.173410
0.529388	0.564753
0.591601	0.548173
0.689312	0.672173
0.687932	0.674352
0.545637	0.546860
0.635596	0.644675
0.671080	0.679713
0.627964	0.589688
0.545373	0.620202
0.534747	0.606733
0.357835	0.456701
0.371888	0.462475
0.445421	0.508992
0.558881	0.617507
0.479317	0.456389
0.608339	0.543179
0.401365	0.561717
0.347590	0.440822
0.540633	0.491368
0.629511	0.610647
0.516408	0.484876
0.560948	0.571621
0.509750	0.362144
0.660539	0.580740
0.493902	0.291362
0.604366	0.499597
0.582764	0.558707
0.573620	0.531326
0.575625	0.481335
0.729472	0.600414
0.443719	0.440625
0.531866	0.481219
0.600114	0.622474
0.665035	0.624153
0.548966	0.550685
0.535014	0.355619
0.456321	0.424301
0.533333	0.391753
0.598499	0.458868
0.710197	0.584013
0.850931	0.825820
0.841191	0.745041
